External Institution,COMP302,COMP360,Total Distinct Courses
The University of Edinburgh,2,1,2
University of Toronto,1,2,2
National University of Singapore,3,1,2
University of California - San Diego,1,1,2
University of Melbourne,2,1,2
University of Sydney,1,1,2
The University of Hong Kong (HKU),2,2,2
University of Washington,1,,1
University of Copenhagen,1,,1
The University of Manchester,1,,1
Universite de Montreal,1,,1
University College London (UCL) - University of London,1,,1
University of British Columbia (UBC) - All Campuses,,1,1
University of Calgary,1,,1
University of California - Berkeley,2,,1
Yonsei University,1,,1
Waseda University,1,,1
University of Groningen,,1,1
University of Zurich,1,,1
University of International Business and Economics (UIBE),1,,1
University of Liverpool,1,,1
The University of Glasgow,,1,1
University of Maryland College Park,,1,1
Université Laval,1,,1
University of New Hampshire,1,,1
University of New South Wales (UNSW),1,,1
University of Ottawa,1,,1
University of London - King's College London,1,,1
Amsterdam University College,,1,1
Arizona State University,1,,1
Loyola University of Chicago,1,,1
Athabasca University,,1,1
Beijing Normal University,,1,1
Catholic University of Louvain,1,,1
Central China Normal University (CCNU),,1,1
Charles University in Prague,1,,1
Columbia University,,1,1
Concordia University,,1,1
East China Normal University,,1,1
Hanyang University,1,,1
Harvard University (ALL SCHOOLS AND COLLEGES),1,,1
Huazhong University of Science and Technology,1,,1
Lund University (LU),1,,1
The University of Dublin (Trinity College),1,,1
Munich University of Technology,,1,1
Nanchang University,,1,1
Nankai University,,1,1
Nanyang Technological University,,1,1
National Autonomous University of Mexico,,1,1
Peking University,1,,1
Polytechnique Montréal,,1,1
Seoul National University,,1,1
Simon Fraser University,,1,1
The Hong Kong Polytechnic University,1,,1
The University of Adelaide,,1,1
École Polytechnique Fédérale de Lausanne,2,,1
