McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
ANTH212,Anthropology of Development,AN237,Anthropology of Development,University of London - London School of Economics and Political Science,"England, UK",Expired,
ANTH212,Anthropology of Development.,06SM721L129,Anthropology of Development,University of Zurich,Switzerland,Equivalent,
ANTH212,Anthropology of Development.,3917,"Imagining the Modern City in the Americas: A Dialogue between New York City, Rio de Janeiro, and Buenos Aires",University of Torcuato di Tella,Argentina,Not Equivalent,"This course is an ART HISTORY course, or perhaps a URBAN STUDIES course, there is nothing here in anthropology or readings in anthropology. I would urge the student to gain credit in one of those fields. STH"
ANTH212,Anthropology of Development.,AIA2005,Sustainable Development,University of Malaya,Malaysia,Equivalent,"This course isn't a clear fit with ANTH212 because there are no anthropology texts assigned. However, because the professor is a trained anthropologist and student requires 212 for the major, I will accept the equivalency"
ANTH212,Anthropology of Development.,AIA2014,"Identity, Diversity and Community",University of Malaya,Malaysia,Not Equivalent,"Based on the readings, it is a sociology course"
ANTH212,Anthropology of Development.,AN3208,Critiquing Development,National University of Singapore,Singapore,Equivalent,
ANTH212,Anthropology of Development.,ANTH231,Culture and Commerce,Concordia University,Canada,Equivalent,this is equivalent
ANTH212,Anthropology of Development.,ANTH3019,Development Practice and Social Impact,University of Queensland (UQ),Australia,Expired,
ANTH212,Anthropology of Development.,ARTS1250,"Human Geography: Society, Space and Territory",University of New South Wales (UNSW),Australia,Not Equivalent,"There are no readings on the syllabus provided, but it looks like a geography course and should be submitted to the Dept of Geography"
ANTH212,Anthropology of Development.,BABSOCO1026U,Theories of Contemporary Society II,Copenhagen Business School,Denmark,Expired,
ANTH212,Anthropology of Development.,BECO1580,Mesurer le bien-être et la soutenabilité au XXIème siècle,Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES),France,Expired,"This course does not include anthropological material, nor does it take an anthropological approach to development."
ANTH212,Anthropology of Development.,CBPC1305,Understanding Society: Culture and Institutions,University of the Andes,Colombia,Not Equivalent,"The course is not in anthropology dept and, based on the professor's profile, it is not clear that he was trained in anthropology. The syllabus doesn't include readings. Please upload full syllabus with readings to show that the content is primarily anthropological."
ANTH212,Anthropology of Development.,CHS140,Health & Fitness,King Saud University,Saudi Arabia,Expired,"This course is a health and fitness class, it has nothing to do with the Anthropology of Development.  Thus I reject the equivalency.  STH"
ANTH212,Anthropology of Development.,CULTURALASPECTSOFBRAZILIANSOCIETY,Cultural aspects of brazilian society,FGV Brazil (Getulio Vargas Foundation),Brazil,Expired,
