McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
MATH242,Analysis 1,MAST20026,Real Analysis,University of Melbourne,Australia,Expired,
MATH242,Analysis 1,MATH100(A),Advanced analysis I,École Polytechnique Fédérale de Lausanne,Switzerland,Expired,
MATH242,Analysis 1,PMAT435,Analysis I,University of Calgary,Canada,Expired,
MATH242,Analysis 1.,1901582W,Analysis I,Nanjing University of Aeronautics and Astronautics,China,Equivalent,
MATH242,Analysis 1.,30542,MATHEMATICAL ANALYSIS - MODULE 1,Luigi Bocconi University,Italy,Expired,You must attend this course in person and not online.
MATH242,Analysis 1.,ANALYSEREELLES2,Analyse Réelle S2,University of Strasbourg,France,Expired,
MATH242,Analysis 1.,DELETEMATH464,DELETEReal Analysis,Concordia University,Canada,Expired,"The course is not equivalent to our MATH 242. The course material has overlap with both MATH 254 and 255 but not enough to warrant equivalency. I would also be hesitant to give it a general MATH 2XX or 3XX equivalence since there would be double crediting issues for our Honours students. We could, on a case by case basis, consider such an equivalence for math major students. "
MATH242,Analysis 1.,MA1511,Set Theory,University of Aberdeen,"Scotland, UK",Expired,
MATH242,Analysis 1.,MA173,Essential Calculus,Trine University,USA,Expired,
MATH242,Analysis 1.,MA2108,Mathematical Analysis I,National University of Singapore,Singapore,Expired,
MATH242,Analysis 1.,MA2108,Mathematical Analysis I,National University of Singapore,Singapore,Equivalent,
MATH242,Analysis 1.,MAT1000,Analyse 1,Universite de Montreal,Canada,Equivalent,
MATH242,Analysis 1.,MAT200,"Logic, Language, and Proof",Stony Brook University,USA,Not Equivalent,
MATH242,Analysis 1.,MAT211,Intro to Higher Math,Franklin & Marshall College,USA,Expired,This course is meant to prepare students for Analysis 1 or Algebra 1 but it is not equivalent to any of these courses.
MATH242,Analysis 1.,MAT2125,Elementary Real Analysis,University of Ottawa,Canada,Expired,
MATH242,Analysis 1.,MAT310,Real Analysis,University of International Business and Economics (UIBE),China,Equivalent,course must be taken in person in order to receive credit.
MATH242,Analysis 1.,MAT3104,Analysis(1),Yonsei University,South Korea,Expired,
MATH242,Analysis 1.,MAT402,Mathematics Analysis 1,East China Normal University,China,Expired,course must be taken in person.
MATH242,Analysis 1.,MAT42,Analysis 1,East China Normal University,China,Not Equivalent,
MATH242,Analysis 1.,MATH0003,Analysis 1,University College London (UCL) - University of London,"England, UK",Expired,
MATH242,Analysis 1.,MATH08064,Fundamentals of Pure Mathematics,The University of Edinburgh,"Scotland, UK",Not Equivalent,
MATH242,Analysis 1.,MATH100A,Advanced Analysis 1,École Polytechnique Fédérale de Lausanne,Switzerland,Expired,
MATH242,Analysis 1.,MATH1013,Mathematical Analysis,The University of Western Australia (UWA),Australia,Equivalent,"If this course is an online course, then it is not approved.  Course must be taken in person, and proof may be required."
MATH242,Analysis 1.,MATH104,Introduction to Analysis,University of California - Berkeley,USA,Expired,
MATH242,Analysis 1.,MATH20101,Real Analysis A,The University of Manchester,"England, UK",Expired,
MATH242,Analysis 1.,MATH2023,Analysis,University of Sydney,Australia,Not Equivalent,
MATH242,Analysis 1.,MATH210,Introduction to Analysis,American University of Beirut,Lebanon,Expired,
MATH242,Analysis 1.,MATH211,Analysis 1 with lab,Korea University,South Korea,Expired,
MATH242,Analysis 1.,MATH2321,Real Analysis 1,University of the West Indies - Cave Hill Campus,Barbados,Expired,
MATH242,Analysis 1.,MATH2505,Introductory Analysis,Dalhousie University,Canada,Equivalent,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Wuhan University of Technology (WHUT),China,Expired,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Nanchang University,China,Expired,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Hunan University,China,Expired,
MATH242,Analysis 1.,MATH301,Real Analysis 1,Lahore College for Women University,Pakistan,Expired,
MATH242,Analysis 1.,MATH320,Real Variables I,University of British Columbia (UBC) - All Campuses,Canada,Expired,
MATH242,Analysis 1.,MATH335,Analysis 1,University of Calgary,Canada,Expired,
MATH242,Analysis 1.,MATH364,Analysis 1,Concordia University,Canada,Equivalent,This course must be taken in person.
MATH242,Analysis 1.,MATH3IA3,Introduction to Analysis,McMaster University,Canada,Expired,
MATH242,Analysis 1.,MH3100,Real Analysis I,Nanyang Technological University,Singapore,Expired,
MATH242,Analysis 1.,MT2502,Analysis,University of St Andrews,"Scotland, UK",Expired,
MATH242,Analysis 1.,MTS301,Real Analysis,Institute of Business Administration (IBA),Pakistan,Expired,
MATH223,Linear Algebra,21058,Numerical Methods in Linear Algebra,The University of Birmingham,"England, UK",Expired,
MATH223,Linear Algebra,881007,Introduction To Linear Algebra,Seoul National University,South Korea,Expired,
MATH223,Linear Algebra,MAT224H1,Linear Algebra 2,University of Toronto,Canada,Expired,
MATH223,Linear Algebra,MATH2022,Linear Algebra 2,York University,Canada,Expired, Please note that this course must be held in person.  Online version will not be approved for credit.
MATH223,Linear Algebra,MATH224,Linear Algebra I,Bogazici (Bosphorus) University,Turkey,Expired,
MATH223,Linear Algebra,MATH2501,Linear Algebra,University of New South Wales (UNSW),Australia,Expired,
MATH223,Linear Algebra,MATH311,Linear Methods 2,University of Calgary,Canada,Expired,
MATH223,Linear Algebra.,0615552,Linear Algebra,The University of Birmingham,"England, UK",Expired,
MATH223,Linear Algebra.,0701M340,Linear Algebra,Jinan University,China,Expired,
MATH223,Linear Algebra.,1M002,Suites et intégrales ; Algèbre linéaire,Université Pierre et Marie Curie (Pre 2018),France,Expired,
MATH223,Linear Algebra.,2M271,"Espaces vectoriels euclidiens et hermitiens, isom´etries affines",Université Pierre et Marie Curie (Pre 2018),France,Expired,this is an exemption not an equivalence.
MATH223,Linear Algebra.,4CCM114A,Linear Algebra and Geometry II,University of London - King's College London,"England, UK",Expired,
MATH223,Linear Algebra.,65086,Linear Algebra,University of Bologna,Italy,Equivalent,
MATH223,Linear Algebra.,ADVANCEDALGEBRA2,Advanced Algebra(2),Shanghai Univ Of Int Busin and,China,Expired,
MATH223,Linear Algebra.,ALGEBRELINEAIRAPPLIQUEE,Algèbre linéaire appliquée,University of Strasbourg,France,Expired,
MATH223,Linear Algebra.,AM2811,Linear Algebra II,University of Western Ontario (UWO),Canada,Expired,
MATH223,Linear Algebra.,COMP116,Analytic Techniques for Computer Science,University of Liverpool,"England, UK",Expired,
MATH223,Linear Algebra.,DELETEMAT210,DELETELINEAR ALGEBRA,University of International Business and Economics (UIBE),China,Expired,online version of this course is not approved for credit.
MATH223,Linear Algebra.,ING100,Algèbre linéraire,Universite de Sherbrooke,Canada,Expired,
MATH223,Linear Algebra.,LINEARALGEBRA,Linear Algebra,Beijing University of Civil Engineering and Architecture,China,Expired,
MATH223,Linear Algebra.,MA1006,Algebra,University of Aberdeen,"Scotland, UK",Expired,
MATH223,Linear Algebra.,MA2503,Linear Algebra,City University of Hong Kong,"Hong Kong, SAR",Expired,
MATH223,Linear Algebra.,MA251,Advanced Linear Algebra,University of Warwick,"England, UK",Expired,
MATH223,Linear Algebra.,MA260,Linear Algebra,University of Massachusetts Boston,USA,Expired,
MATH223,Linear Algebra.,MA313,Linear Algebra,Trine University,USA,Expired,
MATH223,Linear Algebra.,MAS104M,Mixed Linear Models,University of Iceland,Iceland,Expired,
MATH223,Linear Algebra.,MAS2701,Linear Algebra,Newcastle University,"England, UK",Expired,
MATH223,Linear Algebra.,MAST234,Linear Algebra and Applications I,Concordia University,Canada,Expired,
MATH223,Linear Algebra.,MAT1341,Introduction to Linear Algebra,University of Ottawa,Canada,Expired,
MATH223,Linear Algebra.,MAT1600,Algèbre linéaire,Universite de Montreal,Canada,Expired,Remote course delivery approved for pre-McGill admission Fall 2023 only.
MATH223,Linear Algebra.,MAT2023,Linear Algebra 1,Hanyang University,South Korea,Expired,
MATH223,Linear Algebra.,MAT209,Linear Algebra,Bishops University,Canada,Expired,
MATH223,Linear Algebra.,MAT210,Linear Algebra,University of International Business and Economics (UIBE),China,Equivalent,
MATH223,Linear Algebra.,MAT2102,Linear Algebra (1),Yonsei University,South Korea,Expired,
