McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
COMP307,Principles of Web Development.,3I017,Technologies Du Web,Université Pierre et Marie Curie (Pre 2018),France,Expired,
COMP307,Principles of Web Development.,41731,Web-related Technologies,University of Bologna,Italy,Expired,
COMP307,Principles of Web Development.,4SA220,Web 2.0 & Social Network Services,Prague University of Economics and Business (VSE),Czech Republic,Expired,
COMP307,Principles of Web Development.,820040,Mobile and Web Applications,IE University - Madrid,Spain,Equivalent,
COMP307,Principles of Web Development.,CIS1151,Website Development,Vermont Technical College,USA,Expired,
COMP307,Principles of Web Development.,CITS3403,Agile Web Development,The University of Western Australia (UWA),Australia,Expired,
COMP307,Principles of Web Development.,CMPT470,Web-Based Information Systems,Simon Fraser University,Canada,Expired,
COMP307,Principles of Web Development.,COMP266,Introduction to Web Programming,Athabasca University,Canada,Expired,The method of evaluation does not meet the Faculty of Science requirements
COMP307,Principles of Web Development.,COMP30860,Web Development,University College Dublin,Ireland,Equivalent,
COMP307,Principles of Web Development.,COMP3421,Web Application Design and Development,The Hong Kong Polytechnic University,"Hong Kong, SAR",Equivalent,
COMP307,Principles of Web Development.,COMP426,Modern Web Programming,University of North Carolina at Chapel Hill,USA,Expired,
COMP307,Principles of Web Development.,COMP5347,Web Application Development,University of Sydney,Australia,Expired,
COMP307,Principles of Web Development.,COMP6080,Web Front-End Programming,University of New South Wales (UNSW),Australia,Equivalent,
COMP307,Principles of Web Development.,COMPM042,Complex Networks and Web,University College London (UCL) - University of London,"England, UK",Expired,
COMP307,Principles of Web Development.,COMPSCI2021,Web Application Development 2,The University of Glasgow,"Scotland, UK",Equivalent,
COMP307,Principles of Web Development.,COMPSCI4077,Web Science (H),The University of Glasgow,"Scotland, UK",Expired,
COMP307,Principles of Web Development.,COMS32500,Web Technologies,University of Bristol,"England, UK",Expired,
COMP307,Principles of Web Development.,CS1080,Intro to Web Site Dev,University of Vermont,USA,Not Equivalent,
COMP307,Principles of Web Development.,CS2204,Fundamentals of Internet Applications Development,City University of Hong Kong,"Hong Kong, SAR",Equivalent,
COMP307,Principles of Web Development.,CS22A,JavaScript for Programmers,Foothill College,USA,Expired,This is an online course and does not meet the Faculty of Science requirements for an online course
COMP307,Principles of Web Development.,CS3382,Web Usability Design and Engineering,City University of Hong Kong,"Hong Kong, SAR",Expired,
COMP307,Principles of Web Development.,CSC0317,Introduction to Web Software Development,San Francisco State University,USA,Equivalent,
COMP307,Principles of Web Development.,CSC309,Programming on the Web,University of Toronto,Canada,Expired,
COMP307,Principles of Web Development.,CSCI2720,Building Web Applications,The Chinese University of Hong Kong,"Hong Kong, SAR",Equivalent,
COMP307,Principles of Web Development.,CSE154,Web Programming,University of Washington,USA,Expired,
COMP307,Principles of Web Development.,CSE186,Full Stack Web Development,University of California - Santa Cruz,USA,Equivalent,
COMP307,Principles of Web Development.,CSI2109,Internet Programming,Yonsei University,South Korea,Expired,
COMP307,Principles of Web Development.,GBIE6U10,UE Composants logiciels et IHM,Université Grenoble Alpes (UGA),France,Equivalent,
COMP307,Principles of Web Development.,IIC2513,Web Technologies and Applications,Catholic University of Chile,Chile,Expired,
COMP307,Principles of Web Development.,INF4533,Technologies Internet,Université du Québec en Outaouais (UQO),Canada,Expired,
COMP307,Principles of Web Development.,INFO30005,Web Information Technologies,University of Melbourne,Australia,Equivalent,
COMP307,Principles of Web Development.,MI1QDMC3,Programmation web 2,University of Strasbourg,France,Expired,"At Univeristy of Strasbourg, Programmation Web 1 is only offered in the students’ first year, second semester (S2), while Programmation Web 2 is offered second year, second semester (S4)."
COMP307,Principles of Web Development.,NSWI142,Programming of Web Applications,Charles University in Prague,Czech Republic,Equivalent,
COMP307,Principles of Web Development.,PIC40A,Introduction to Programming for Internet,University of California - Los Angeles,USA,Expired,
COMP307,Principles of Web Development.,SOEN287,Web Programming,Concordia University,Canada,Not Equivalent,
COMP307,Principles of Web Development.,SOEN287,Web programming,Concordia University,Canada,Expired,
COMP330,Theory of Computation,30470134,Theory Of Computation,Tsinghua University,China,Expired,
COMP330,Theory of Computation,COMP1641,Algorithms I,University of Leeds,"England, UK",Expired,
COMP330,Theory of Computation,COMS11700,Theory of Computation,University of Bristol,"England, UK",Expired,
COMP330,Theory of Computation,CS4232,Theory Of Computation,National University of Singapore,Singapore,Expired,
COMP330,Theory of Computation.,02141,Computer Science Modelling,Technical University of Denmark,Denmark,Equivalent,
COMP330,Theory of Computation.,05934,Models of Computation,The University of Birmingham,"England, UK",Expired,
COMP330,Theory of Computation.,19301201,Foundations of Theoretical Computer Science,Free University of Berlin,Germany,Expired,
COMP330,Theory of Computation.,AE3COM,Computability,University of Nottingham Ningbo China,China,Expired,The course content covers much of the material in COMP 330. However there are only 12 two hour lecture sessions.
COMP330,Theory of Computation.,BASC0040,"Logic, Computation and Language Theory",University College London (UCL) - University of London,"England, UK",Equivalent,
COMP330,Theory of Computation.,COMP0003,Theory Of Computation,University College London (UCL) - University of London,"England, UK",Expired,
COMP330,Theory of Computation.,COMP2022,Models of Computation,University of Sydney,Australia,Equivalent,This course must be taken in person in order to receive credit.
COMP330,Theory of Computation.,COMP2048,Theory of Computing,University of Queensland (UQ),Australia,Expired,
COMP330,Theory of Computation.,COMP218,"Decision, Computation and Language",University of Liverpool,"England, UK",Expired,
COMP330,Theory of Computation.,COMP2922,Models of Computation (Adv),University of Sydney,Australia,Expired,
COMP330,Theory of Computation.,COMP30026,Models of Computation,University of Melbourne,Australia,Equivalent,
COMP330,Theory of Computation.,COMP3004,Computational Complexity,University College London (UCL) - University of London,"England, UK",Expired,
COMP330,Theory of Computation.,COMP31020,Formal Foundations 3,University College Dublin,Ireland,Equivalent,
COMP330,Theory of Computation.,COMP330,Theory of Computation,Zhejiang University,China,Expired,on-campus only
COMP330,Theory of Computation.,COMP335,Introduction to Theoretical Computer Science,Concordia University,Canada,Expired,
COMP330,Theory of Computation.,COMP342,Alogrithm Design,University of International Business and Economics (UIBE),China,Expired,Course must be taken in person in order to receive credits.
COMP330,Theory of Computation.,COMP370,Theory of Computation,Central China Normal University (CCNU),China,Expired,Course must be taken in-person.  Online version is not approved for credit.
COMP330,Theory of Computation.,COMP370,Theory of computation,East China Normal University,China,Expired,Course must be taken in person in order to receive credits.
COMP330,Theory of Computation.,COMP382,"Language, Computation and Machines",University of the Fraser Valley,Canada,Expired,
COMP330,Theory of Computation.,COMP4011,Theory of Computation,The Hong Kong Polytechnic University,"Hong Kong, SAR",Expired,
COMP330,Theory of Computation.,COMP4141,Theory of Computation,University of New South Wales (UNSW),Australia,Expired,
COMP330,Theory of Computation.,COMP455,Models of Languages and Computation,University of North Carolina at Chapel Hill,USA,Expired,
COMP330,Theory of Computation.,COMPSCI350,Mathematical Foundations of Computer Science,The University of Auckland / Te Whare Wananga o Tamaki Makaurau,New Zealand,Equivalent,
COMP330,Theory of Computation.,COMPSCI4072,Theory of Computation (H),The University of Glasgow,"Scotland, UK",Expired,
COMP330,Theory of Computation.,COMPTHEORY,Computation Theory,Keio University,Japan,Expired,
COMP330,Theory of Computation.,COMS3261,COMPUTER SCIENCE THEORY,Columbia University,USA,Expired,"This course is approved for Summer 2020 only.  This course is approved for online/remote instruction only.  In-person (on campus) instruction is not approved for credit.

"
COMP330,Theory of Computation.,COSC341,Theory of Computing,University of Otago / Te Whare Wananga o Otago,New Zealand,Equivalent,
COMP330,Theory of Computation.,COSE215,Theory of Computation,Korea University,South Korea,Equivalent,
COMP330,Theory of Computation.,CPSC421,Introduction to Theory of Computing,University of British Columbia (UBC) - All Campuses,Canada,Expired,
COMP330,Theory of Computation.,CS181,An Introduction to Computability Theory,University of California - Los Angeles,USA,Equivalent,
COMP330,Theory of Computation.,CS220,Theory of Computation,University of International Business and Economics (UIBE),China,Expired,course must be taken in person.
COMP330,Theory of Computation.,CS251,Theory of computation,École Polytechnique Fédérale de Lausanne,Switzerland,Equivalent,
COMP330,Theory of Computation.,CS3102,Theory of Computation,University of Virginia,USA,Expired,
COMP330,Theory of Computation.,CS3231,Theory of Computation,National University of Singapore,Singapore,Equivalent,
COMP330,Theory of Computation.,CS5230,Computational Complexity,National University of Singapore,Singapore,Expired,"Closest to COMP 330 in content, but little intersection with COMP 360/362."
COMP330,Theory of Computation.,CSC236,Introduction to the Theory of Computation,University of Toronto,Canada,Expired,
COMP330,Theory of Computation.,CSC520,Theory of Computing,San Francisco State University,USA,Expired,
