External Institution,COMP302,COMP360,ECSE420,ECSE421,ECSE427,ECSE428,ECSE429,Total Distinct Courses
National University of Singapore,3,1,1,1,1,,,5
The University of Hong Kong (HKU),2,2,,1,1,,,4
École Polytechnique Fédérale de Lausanne,2,,1,3,,,,3
University of Melbourne,2,1,,,1,,,3
The University of Edinburgh,2,1,,,,,1,3
The Hong Kong Polytechnic University,1,,,1,2,,,3
Polytechnique Montréal,,1,,1,,,1,3
University of Sydney,1,1,,1,,,,3
The University of Adelaide,,1,,,,1,,2
University of California - San Diego,1,1,,,,,,2
University of Groningen,,1,1,,,,,2
Nanyang Technological University,,1,,1,,,,2
The University of Manchester,1,,,,,,1,2
University of Toronto,1,2,,,,,,2
Concordia University,,1,,,,1,,2
University of New South Wales (UNSW),1,,,,,,,1
University of California - Berkeley,2,,,,,,,1
Yonsei University,1,,,,,,,1
Tsinghua University,,,,,,1,,1
Waseda University,1,,,,,,,1
Universite de Montreal,1,,,,,,,1
Université Laval,1,,,,,,,1
University of the Americas Puebla (UDLAP),,,,,,1,,1
University College London (UCL) - University of London,1,,,,,,,1
University of British Columbia (UBC) - All Campuses,,1,,,,,,1
University of Calgary,1,,,,,,,1
University of Zurich,1,,,,,,,1
University of New Hampshire,1,,,,,,,1
University of Waterloo,,,,,1,,,1
University of Copenhagen,1,,,,,,,1
University of Washington,1,,,,,,,1
University of International Business and Economics (UIBE),1,,,,,,,1
Toronto Metropolitan University (Post 2022),,,,,,,1,1
University of London - King's College London,1,,,,,,,1
University of Maryland College Park,,1,,,,,,1
University of Ottawa,1,,,,,,,1
University of Liverpool,1,,,,,,,1
Amsterdam University College,,1,,,,,,1
The University of Glasgow,,1,,,,,,1
King Saud University,,,,,1,,,1
Athabasca University,,1,,,,,,1
Beijing Normal University,,1,,,,,,1
Catholic University of Louvain,1,,,,,,,1
Central China Normal University (CCNU),,1,,,,,,1
Charles University in Prague,1,,,,,,,1
City University of Hong Kong,,,,,1,,,1
Columbia University,,1,,,,,,1
East China Normal University,,1,,,,,,1
Hanyang University,1,,,,,,,1
Harvard University (ALL SCHOOLS AND COLLEGES),1,,,,,,,1
Huazhong University of Science and Technology,1,,,,,,,1
Loyola University of Chicago,1,,,,,,,1
Arizona State University,1,,,,,,,1
Lund University (LU),1,,,,,,,1
Munich University of Technology,,1,,,,,,1
Nanchang University,,1,,,,,,1
Nankai University,,1,,,,,,1
National Autonomous University of Mexico,,1,,,,,,1
Peking University,1,,,,,,,1
Seoul National University,,1,,,,,,1
Shanghai Jiao Tong University,,,,,1,,,1
Simon Fraser University,,1,,,,,,1
Technical University of Denmark,,,,,1,,,1
The Chinese University of Hong Kong,,,,,1,,,1
The University of Dublin (Trinity College),1,,,,,,,1
