External Institution,MATH223,MATH242,MATH243,MATH247,MATH264,MATH316,MATH319,MATH326,MATH378,MATH417,MATH427,MATH447,MATH463,MATH475,MATH478,Total Distinct Courses
Concordia University,3,2,1,,1,1,1,2,,3,3,,,,,9
Nanyang Technological University,1,1,1,,,2,1,2,,1,,1,,,,8
Universite de Montreal,1,1,1,,,1,1,,,1,,1,,,,7
University of Calgary,1,2,1,,1,1,1,,,1,,,,,,7
University of New South Wales (UNSW),2,,,,,1,1,1,2,,,1,,,,6
The Chinese University of Hong Kong,1,,2,,,1,1,,,,1,2,,,,6
University of British Columbia (UBC) - All Campuses,,1,1,,,1,2,1,,1,,,,,,6
École Polytechnique Fédérale de Lausanne,1,2,,,,,1,,,1,,1,,,,5
University of Toronto,1,,,1,1,1,,,,,,1,,,,5
University of Melbourne,,1,,,,1,1,,1,,,1,,,,5
The University of Hong Kong (HKU),,,1,,,1,,,,,,2,,1,,4
Korea University,1,1,,1,,,1,,,,,,,,,4
University College London (UCL) - University of London,1,1,1,,,,,,,,,1,,,,4
Polytechnique Montréal,3,,,,,1,1,,,1,,,,,,4
University of California - Berkeley,1,1,1,,,,,,,,,,,1,,4
City University of Hong Kong,1,,,,,1,,,,1,,1,,,,4
University of Waterloo,1,,,2,1,3,,,,,,,,,,4
University of North Carolina at Chapel Hill,1,,,1,,,,,,,,,,2,,3
Yonsei University,2,1,,,,,,,,,,1,,,,3
McMaster University,2,1,,,,1,,,,,,,,,,3
University of Alberta,1,,,,,1,1,,,,,,,,,3
University of Amsterdam,,,,,,1,1,1,,,,,,,,3
The University of Edinburgh,,,,,1,,,,,1,,1,,,,3
University of International Business and Economics (UIBE),4,1,,,,1,,,,,,,,,,3
National University of Singapore,,2,2,,,,,,,,,2,,,,3
University of Ottawa,1,1,,2,,,,,,,,,,,,3
The University of Birmingham,2,,,,,,,,,2,,,,,,2
Trine University,1,1,,,,,,,,,,,,,,2
The University of Glasgow,,,,,,1,,,,,,1,,,,2
Wuhan University of Technology (WHUT),1,1,,,,,,,,,,,,,,2
Athabasca University,1,,,,,1,,,,,,,,,,2
École Polytechnique,,,,,,1,,,,,,,1,,,2
The University of Manchester,2,1,,,,,,,,,,,,,,2
The University of Western Australia (UWA),1,1,,,,,,,,,,,,,,2
University of the Andes,,,,,,1,,,,,,2,,,,2
Waseda University,,,,,,1,,,,,,,,,1,2
Université du Québec à Montréal (UQAM),,,1,,,,,,,,,1,,,,2
University of Aberdeen,1,1,,,,,,,,,,,,,,2
University of Bologna,1,,,,,,1,,,,,,,,,2
University of Bristol,,,,,,,1,,,,,1,,,,2
University of Sydney,2,,,,,,,,,,,1,,,,2
University of Strasbourg,1,1,,,,,,,,,,,,,,2
University of Iceland,1,,,,,,1,,,,,,,,,2
University of Liverpool,1,,,,,1,,,,,,,,,,2
University of London - King's College London,1,,,,,,,,,,,1,,,,2
University of Queensland (UQ),1,,,,1,,,,,,,,,,,2
Stanford University,3,,,,,,,,,,,2,,,,2
The University of Adelaide,,,,,,1,,,,,,1,,,,2
Franklin & Marshall College,1,1,,,,,,,,,,,,,,2
Carleton University,1,,,,1,,,,,,,,,,,2
Dalhousie University,2,1,,,,,,,,,,,,,,2
Charles University in Prague,1,,,,,,,,,,,,1,,,2
Kyoto University,,,,,,1,,,,,,1,,,,2
Loyola Marymount University,,,,,,1,1,,,,,,,,,2
Luigi Bocconi University,,1,1,,,,,,,,,,,,,2
Missouri University of Science and Technology,1,,,,,,1,,,,,,,,,2
