External Institution,COMP307,COMP330,COMP350,COMP370,COMP417,COMP424,COMP445,COMP520,COMP521,COMP525,COMP529,COMP533,COMP547,COMP549,COMP550,COMP551,COMP559,COMP579,ECSE343,ECSE421,ECSE424,ECSE425,ECSE507,ECSE526,ECSE532,ECSE551,ECSE552,ECSE554,MATH247,Total Distinct Courses
Nanyang Technological University,,,2,2,2,6,,1,1,,,,1,,2,2,,,,1,1,,,,1,1,2,,,14
The University of Hong Kong (HKU),,,2,1,1,2,,1,1,,,,1,,2,1,1,,,1,1,1,,,,,,,,13
National University of Singapore,,3,2,,,1,,1,2,,,,,,,4,1,,,1,1,,,,2,2,1,,,12
University of New South Wales (UNSW),1,1,,,1,1,,,,1,,,,,1,1,,,,,1,,,1,,1,1,,,11
The University of Edinburgh,,1,3,,1,1,1,1,,,1,1,3,,1,3,,,,,,,,,,,,,,11
The Hong Kong Polytechnic University,1,1,,1,1,1,,,1,,,,,,,,,,,1,2,1,,,1,,,,,10
Concordia University,1,1,2,,,1,,1,,,,,,,,1,,,,,,1,,1,1,,,,,9
University of Toronto,1,2,1,,1,1,,,,,,,,,,1,,,,,,1,,,,,1,,1,9
Technical University of Denmark,,1,1,1,,2,,1,,,,,2,,,1,,1,,,,1,,,,,,,,9
University of Melbourne,1,1,1,,,1,,,,,,,1,,1,3,,,,,,,,1,,1,,,,9
The Chinese University of Hong Kong,1,1,,1,,2,,1,,,,,,,1,1,,,,,,,,,1,,,,,8
The University of Dublin (Trinity College),,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,1,,1,,,8
École Polytechnique Fédérale de Lausanne,,1,,,,1,,,,,,,1,,2,5,,,,3,1,,,,,1,,,,8
University of Bristol,1,1,,1,1,1,,1,,,,,,,,1,,,,,1,,,,,,,,,8
Tsinghua University,,1,,,1,2,,,,,,,,,2,2,,,,,1,,,,1,,1,,,8
University College London (UCL) - University of London,1,3,,,,1,,1,,,,,1,,,1,,,1,,,,,,,,,,,7
University of Queensland (UQ),,1,,,,1,,1,,,,,,,,1,,,,,1,,,1,,,1,,,7
University of Sydney,1,2,,1,,1,,,,,,,,,1,3,,,,1,,,,,,,,,,7
University College Dublin,1,1,,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,7
IE University - Madrid,1,,,1,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,6
Munich University of Technology,,,,,3,1,,,,,,,1,1,,2,,,,,,,,,,2,,,,6
Charles University in Prague,1,1,,,1,2,,,,,,,1,,,2,,,,,,,,,,,,,,6
Yonsei University,1,1,1,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,6
University of Groningen,,1,,,,1,,,,,,,,,2,1,,,,,,,,,1,,,,,5
University of Strasbourg,1,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,5
City University of Hong Kong,2,,,,1,2,,,,,,,,,,1,3,,,,,,,,,,,,,5
