External Institution,MATH242,MATH243,MATH247,MATH264,MATH271,MATH316,MATH319,MATH323,MATH324,MATH326,MATH340,MATH378,MATH417,MATH427,MATH447,MATH463,MATH475,MATH478,Total Distinct Courses
Concordia University,2,1,,1,,1,1,4,3,2,1,,3,3,,,,,11
Nanyang Technological University,1,1,,,2,2,1,,,2,2,,1,,1,,,,9
École Polytechnique Fédérale de Lausanne,2,,,,1,,1,3,1,,1,,1,,1,,,,8
University of Melbourne,1,,,,,1,1,2,2,,2,1,,,1,,,,8
University of Calgary,2,1,,1,,1,1,2,1,,,,1,,,,,,8
University of British Columbia (UBC) - All Campuses,1,1,,,,1,2,3,1,1,,,1,,,,,,8
University of Toronto,,,1,1,1,1,,1,4,,,,,,1,,,,7
Universite de Montreal,1,1,,,,1,1,1,,,,,1,,1,,,,7
The Chinese University of Hong Kong,,2,,,,1,1,1,2,,,,,1,2,,,,7
The University of Hong Kong (HKU),,1,,,,1,,2,2,,,,,,2,,1,,6
National University of Singapore,2,2,,,,,,3,1,,1,,,,2,,,,6
The University of Edinburgh,,,,1,,,,2,2,,,,1,,1,,,,5
University of California - Berkeley,1,1,,,,,,1,1,,,,,,,,1,,5
Korea University,1,,1,,,,1,1,1,,,,,,,,,,5
University of New South Wales (UNSW),,,,,,1,1,,,1,,2,,,1,,,,5
University College London (UCL) - University of London,1,1,,,,,,2,1,,,,,,1,,,,5
University of International Business and Economics (UIBE),1,,,,,1,,2,2,,,,,,,,,,4
The University of Glasgow,,,,,,1,,2,2,,,,,,1,,,,4
Loyola Marymount University,,,,,,1,1,,1,,1,,,,,,,,4
McMaster University,1,,,,,1,,1,1,,,,,,,,,,4
University of Waterloo,,,2,1,,3,,1,,,,,,,,,,,4
University of Ottawa,1,,2,,,,,1,1,,,,,,,,,,4
Yonsei University,1,,,,,,,3,4,,,,,,1,,,,4
City University of Hong Kong,,,,,,1,,,1,,,,1,,1,,,,4
University of Amsterdam,,,,,,1,1,,,1,1,,,,,,,,4
École Polytechnique,,,,,,1,,,1,,1,,,,,1,,,4
Waseda University,,,,,,1,,1,1,,,,,,,,,1,4
Nanjing University of Aeronautics and Astronautics,1,,,,,,,1,1,,,,,,,,,,3
University of Virginia,,,,,,1,,1,1,,,,,,,,,,3
