External Institution,COMP360,ECSE326,ECSE427,ECSE428,Total Distinct Courses
The University of Adelaide,1,,,1,2
City University of Hong Kong,,1,1,,2
Concordia University,1,,,1,2
National University of Singapore,1,,1,,2
University of Melbourne,1,,1,,2
The University of Hong Kong (HKU),2,,1,,2
Amsterdam University College,1,,,,1
University of California - San Diego,1,,,,1
The University of Edinburgh,1,,,,1
The University of Glasgow,1,,,,1
University of British Columbia (UBC) - All Campuses,1,,,,1
University of Maryland College Park,1,,,,1
University of Groningen,1,,,,1
The Chinese University of Hong Kong,,,1,,1
University of Sydney,1,,,,1
University of Toronto,2,,,,1
University of Waterloo,,,1,,1
University of Zurich,,1,,,1
The Hong Kong Polytechnic University,,,2,,1
Shanghai Jiao Tong University,,,1,,1
Simon Fraser University,1,,,,1
Athabasca University,1,,,,1
Seoul National University,1,,,,1
Polytechnique Montréal,1,,,,1
National Autonomous University of Mexico,1,,,,1
Nanyang Technological University,1,,,,1
Nankai University,1,,,,1
Nanchang University,1,,,,1
Munich University of Technology,1,,,,1
King Saud University,,,1,,1
East China Normal University,1,,,,1
Columbia University,1,,,,1
Central China Normal University (CCNU),1,,,,1
Beijing Normal University,1,,,,1
University of the Americas Puebla (UDLAP),,,,1,1
