McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
MATH242,Analysis 1,MAST20026,Real Analysis,University of Melbourne,Australia,Expired,
MATH242,Analysis 1,MATH100(A),Advanced analysis I,École Polytechnique Fédérale de Lausanne,Switzerland,Expired,
MATH242,Analysis 1,PMAT435,Analysis I,University of Calgary,Canada,Expired,
MATH242,Analysis 1.,1901582W,Analysis I,Nanjing University of Aeronautics and Astronautics,China,Equivalent,
MATH242,Analysis 1.,30542,MATHEMATICAL ANALYSIS - MODULE 1,Luigi Bocconi University,Italy,Expired,You must attend this course in person and not online.
MATH242,Analysis 1.,ANALYSEREELLES2,Analyse Réelle S2,University of Strasbourg,France,Expired,
MATH242,Analysis 1.,DELETEMATH464,DELETEReal Analysis,Concordia University,Canada,Expired,"The course is not equivalent to our MATH 242. The course material has overlap with both MATH 254 and 255 but not enough to warrant equivalency. I would also be hesitant to give it a general MATH 2XX or 3XX equivalence since there would be double crediting issues for our Honours students. We could, on a case by case basis, consider such an equivalence for math major students. "
MATH242,Analysis 1.,MA1511,Set Theory,University of Aberdeen,"Scotland, UK",Expired,
MATH242,Analysis 1.,MA173,Essential Calculus,Trine University,USA,Expired,
MATH242,Analysis 1.,MA2108,Mathematical Analysis I,National University of Singapore,Singapore,Expired,
MATH242,Analysis 1.,MA2108,Mathematical Analysis I,National University of Singapore,Singapore,Equivalent,
MATH242,Analysis 1.,MAT1000,Analyse 1,Universite de Montreal,Canada,Equivalent,
MATH242,Analysis 1.,MAT200,"Logic, Language, and Proof",Stony Brook University,USA,Not Equivalent,
MATH242,Analysis 1.,MAT211,Intro to Higher Math,Franklin & Marshall College,USA,Expired,This course is meant to prepare students for Analysis 1 or Algebra 1 but it is not equivalent to any of these courses.
MATH242,Analysis 1.,MAT2125,Elementary Real Analysis,University of Ottawa,Canada,Expired,
MATH242,Analysis 1.,MAT310,Real Analysis,University of International Business and Economics (UIBE),China,Equivalent,course must be taken in person in order to receive credit.
MATH242,Analysis 1.,MAT3104,Analysis(1),Yonsei University,South Korea,Expired,
MATH242,Analysis 1.,MAT402,Mathematics Analysis 1,East China Normal University,China,Expired,course must be taken in person.
MATH242,Analysis 1.,MAT42,Analysis 1,East China Normal University,China,Not Equivalent,
MATH242,Analysis 1.,MATH0003,Analysis 1,University College London (UCL) - University of London,"England, UK",Expired,
MATH242,Analysis 1.,MATH08064,Fundamentals of Pure Mathematics,The University of Edinburgh,"Scotland, UK",Not Equivalent,
MATH242,Analysis 1.,MATH100A,Advanced Analysis 1,École Polytechnique Fédérale de Lausanne,Switzerland,Expired,
MATH242,Analysis 1.,MATH1013,Mathematical Analysis,The University of Western Australia (UWA),Australia,Equivalent,"If this course is an online course, then it is not approved.  Course must be taken in person, and proof may be required."
MATH242,Analysis 1.,MATH104,Introduction to Analysis,University of California - Berkeley,USA,Expired,
MATH242,Analysis 1.,MATH20101,Real Analysis A,The University of Manchester,"England, UK",Expired,
MATH242,Analysis 1.,MATH2023,Analysis,University of Sydney,Australia,Not Equivalent,
MATH242,Analysis 1.,MATH210,Introduction to Analysis,American University of Beirut,Lebanon,Expired,
MATH242,Analysis 1.,MATH211,Analysis 1 with lab,Korea University,South Korea,Expired,
MATH242,Analysis 1.,MATH2321,Real Analysis 1,University of the West Indies - Cave Hill Campus,Barbados,Expired,
MATH242,Analysis 1.,MATH2505,Introductory Analysis,Dalhousie University,Canada,Equivalent,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Wuhan University of Technology (WHUT),China,Expired,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Nanchang University,China,Expired,
MATH242,Analysis 1.,MATH27,Introduction to Analysis,Hunan University,China,Expired,
MATH242,Analysis 1.,MATH301,Real Analysis 1,Lahore College for Women University,Pakistan,Expired,
MATH242,Analysis 1.,MATH320,Real Variables I,University of British Columbia (UBC) - All Campuses,Canada,Expired,
MATH242,Analysis 1.,MATH335,Analysis 1,University of Calgary,Canada,Expired,
MATH242,Analysis 1.,MATH364,Analysis 1,Concordia University,Canada,Equivalent,This course must be taken in person.
MATH242,Analysis 1.,MATH3IA3,Introduction to Analysis,McMaster University,Canada,Expired,
MATH242,Analysis 1.,MH3100,Real Analysis I,Nanyang Technological University,Singapore,Expired,
MATH242,Analysis 1.,MT2502,Analysis,University of St Andrews,"Scotland, UK",Expired,
MATH242,Analysis 1.,MTS301,Real Analysis,Institute of Business Administration (IBA),Pakistan,Expired,
MATH247,Honours Applied Linear Algebra.,MAT2141,Honours Linear Algebra,University of Ottawa,Canada,Expired,
MATH247,Honours Applied Linear Algebra.,MAT224H,Linear Algebra II,University of Toronto,Canada,Expired,
MATH247,Honours Applied Linear Algebra.,MAT3341,Applied Linear Algebra,University of Ottawa,Canada,Expired,online: approved for 1 term only.
MATH247,Honours Applied Linear Algebra.,MATH222,LINEAR ALGEBRA Ⅱ WITH LAB,Korea University,South Korea,Expired,
MATH247,Honours Applied Linear Algebra.,MATH235,Linear Algebra 2 for Honours Mathematics,University of Waterloo,Canada,Expired,This course must be taken in person.  Online version is this course is not approved for credit.
MATH247,Honours Applied Linear Algebra.,MATH235,Linear Algrabra2 for Honors Mathematics,University of Waterloo,Canada,Expired,
MATH247,Honours Applied Linear Algebra.,MATH442,Honors Level Linear Algebra,Boston University,USA,Not Equivalent,
MATH247,Honours Applied Linear Algebra.,MATH547,Linear Algebra for Applications,University of North Carolina at Chapel Hill,USA,Expired,
MATH243,Analysis 2,MATH2060,Mathematical Analysis II,The Chinese University of Hong Kong,"Hong Kong, SAR",Expired,
MATH243,Analysis 2,MATH445,Analysis II,University of Calgary,Canada,Expired,
MATH243,Analysis 2,MH4100,Real Analysis Ii,Nanyang Technological University,Singapore,Expired,
MATH243,Analysis 2.,30543,MATHEMATICAL ANALYSIS - MODULE 2,Luigi Bocconi University,Italy,Expired,
MATH243,Analysis 2.,MA3110,Mathematical Analysis II,National University of Singapore,Singapore,Expired,
MATH243,Analysis 2.,MA3210,Mathematical Analysis II,National University of Singapore,Singapore,Equivalent,
MATH243,Analysis 2.,MAT2050,Analyse 2,Universite de Montreal,Canada,Equivalent,Course syllabus from 2022.
MATH243,Analysis 2.,MAT2150,Analyse II,Université du Québec à Montréal (UQAM),Canada,Equivalent,
MATH243,Analysis 2.,MAT43,Analysis 2,East China Normal University,China,Expired,course must be taken in person.
MATH243,Analysis 2.,MATH0004,Analysis 2,University College London (UCL) - University of London,"England, UK",Equivalent,
MATH243,Analysis 2.,MATH105,Second Course in Analysis,University of California - Berkeley,USA,Expired,
MATH243,Analysis 2.,MATH2060A,Mathematical Analysis 2,The Chinese University of Hong Kong,"Hong Kong, SAR",Expired,
MATH243,Analysis 2.,MATH321,Real Variables II,University of British Columbia (UBC) - All Campuses,Canada,Expired,
MATH243,Analysis 2.,MATH3610,Real Analysis II,University of North Texas - Denton,USA,Expired,Course is only approved for Fall 2020.
MATH243,Analysis 2.,MATH365,Analysis 2,Concordia University,Canada,Expired,You must attend this course in person and not zoom in order to receive credit.
MATH243,Analysis 2.,MATH4030,Mathematical/Real Analysis,University of Massachusetts Lowell (UMass Lowell UML),USA,Expired,
MATH243,Analysis 2.,MATH4062,"Introduction to Modern Analysis, II",Columbia University,USA,Expired,
MATH243,Analysis 2.,MATH4402,Analysis II,The University of Hong Kong (HKU),"Hong Kong, SAR",Expired,
MATH264,Adv Calculus for Engineers,SCEE08010,Engineering Mathematics 2B,The University of Edinburgh,"Scotland, UK",Expired,
MATH264,Advanced Calculus for Engineers.,20148,Analysis III,Berlin University of Technology,Germany,Expired,
MATH264,Advanced Calculus for Engineers.,20305,Analysis III für Ingenieure,Berlin University of Technology,Germany,Not Equivalent,
MATH264,Advanced Calculus for Engineers.,2500012,VECTOR CALCULUS AND DIFFERENTIAL EQUATION,Technical University of Catalonia,Spain,Expired,
MATH264,Advanced Calculus for Engineers.,3314412,Partielle Differentialgleichungen,Humboldt University Berlin,Germany,Expired,
MATH264,Advanced Calculus for Engineers.,CALCULUS3,Calculus 3,University of Toronto,Canada,Expired,
